,states,area,total,density
0,Alabama,135767,224654,1.654702542
1,Arizona,295234,355311,1.203489435
2,Arkansas,137732,129812,0.942497023
3,California,423972,3018337,7.119189475
4,Colorado,269601,376994,1.398340511
5,Connecticut,14357,279653,19.47851222
6,Delaware,6446,76537,11.873565
7,District of Columbia,177,142502,805.0960452
8,Florida,170312,1059144,6.218845413
9,Georgia,153910,601503,3.908147619
10,Idaho,216443,78640,0.363328913
11,Illinois,149995,879947,5.866508884
12,Indiana,94326,371629,3.939836312
13,Iowa,145746,192608,1.32153198
14,Kansas,213100,169558,0.795673393
15,Kentucky,104656,211621,2.022062758
16,Louisiana,135659,255492,1.883339845
17,Maine,91633,65349,0.713160106
18,Maryland,32131,417776,13.00227195
19,Massachusetts,27336,575635,21.05776266
20,Michigan,250487,537087,2.144171155
21,Minnesota,225163,374920,1.665104835
22,Mississippi,125438,115749,0.922758654
23,Missouri,180540,323287,1.790666888
24,Montana,380831,49635,0.130333402
25,Nebraska,200330,124742,0.622682574
26,Nevada,286380,168752,0.589259026
27,New Hampshire,24214,86046,3.553564054
28,New Jersey,22591,634721,28.09618875
29,New Mexico,314917,101452,0.322154726
30,New York,141297,1701399,12.04129599
31,North Carolina,139391,575605,4.129427294
32,North Dakota,183108,55657,0.303957227
33,Ohio,116098,689139,5.935838688
34,Oklahoma,181037,203250,1.122698675
35,Oregon,254799,243085,0.954026507
36,Pennsylvania,119280,803307,6.734632797
37,Rhode Island,4001,61341,15.33141715
38,South Carolina,82933,234367,2.825980008
39,South Dakota,199729,52544,0.263076469
40,Tennessee,109153,373663,3.423295741
41,Texas,695662,1818585,2.614179012
42,Utah,219882,180862,0.822541181
43,Vermont,24906,34154,1.371316149
44,Virginia,110787,544348,4.913464576
45,Washington,184661,576624,3.122608455
46,West Virginia,62756,79168,1.261520811
47,Wisconsin,169635,342470,2.018864032
48,Wyoming,253335,39899,0.157495016
99,Ocean,8081874,20608560,2.549972939